id,lat,lng,segment,app_type,acum_total
553,-0.2166018000,-78.5084327000,About to sleep,B2B,852.260969902
3815,0.2992051000,-78.1196772000,Inactive,B2B,0
958,-0.1806532000,-78.4678382000,Champion confident,B2B,16876.91259888
5995,0.3103125000,-78.1198125000,Newbie Confident,B2B,919.924795951
578,-0.2971029000,-78.4609105000,Loyal confident,B2B,14528.891686259
3706,0.2565625000,-78.2473125000,Inactive,B2B,0
857,-0.1878368000,-78.4767791000,Inactive,B2B,0
2209,-0.2953183000,-78.5635244000,Inactive,B2B,0
3645,-0.3176205000,-78.5342377000,About to sleep,B2B,45.755786796
4685,-0.0924136000,-78.4479440000,Inactive,B2B,0
1923,-0.2459618000,0.0000000000,Loyal confident,B2B,3260.724176573
575,-0.1363391000,-78.4573942000,Inactive,B2B,0
1722,-2.1416969000,-79.9391855000,Champion confident,B2B,20337.65946034
4242,0.3498353000,-78.1247979000,Newbie shy,B2B,224.1023344
1337,-0.2203604000,-78.3730551000,Loyal confident,B2B,2265.861084987
3409,-0.1205758000,-78.4886744000,Inactive,B2B,0
3563,0.2308098000,-78.2588745000,Inactive,B2B,0
5981,-0.2597226000,-78.5390330000,Newbie shy,B2B,760.509801249
392,-0.2630654000,-78.4855753000,Loyal confident,B2B,6562.329860059
243,-0.2970690000,0.0000000000,Loyal confident,B2B,2494.794732827
2609,-0.3456743000,-78.5498868000,Inactive,B2B,0
834,-0.3408150000,-78.5608666000,About to sleep,B2B,3859.99024
1499,-2.1263131000,-79.8930453000,Inactive,B2B,0
1139,-0.3370519000,0.0000000000,Champion shy,B2B,341.713012253
351,-0.3267796000,-78.4763819000,At risk shy,B2B,400.839553784
326,-0.1284404000,-78.4613297000,At risk shy,B2B,951.665213187
70,-0.1067626000,-78.4539911000,Inactive,B2B,0
4453,-0.3252028000,-78.4762624000,At risk shy,B2B,78.4
2453,-0.0962544000,-78.5197820000,Inactive,B2B,0
1645,-2.2759579000,-79.8867605000,Champion shy,B2B,718.882408435
1539,-2.2270431000,-79.9055355000,About to sleep,B2B,68584.7925472
1603,-2.1721400000,-79.8031017000,At risk confident,B2B,13071.318888678
1647,-0.3735117000,-78.5501483000,Champion confident,B2B,2038.253079429
4895,-1.7825976000,-79.6826809000,Inactive,B2B,0
2789,-2.1127041000,-79.9582356000,At risk shy,B2B,582.378822093
4810,-0.2601744000,-78.5149679000,Inactive,B2B,0
3533,0.3540923000,-78.1310707000,Inactive,B2B,0
5005,-2.1208810000,-79.9744904000,Inactive,B2B,0
1225,-0.1592717000,-78.4450027000,Inactive,B2B,0
695,-0.2314826000,-78.4958572000,About to sleep,B2B,488.735552
1624,-2.1193314000,-79.9674438000,Inactive,B2B,0
3261,-0.2611274000,-78.5385235000,Inactive,B2B,0
2691,-0.3036804000,-78.4430466000,Inactive,B2B,0
836,-0.0854488000,-78.5041155000,About to sleep,B2B,3117.959662859
718,-0.2412855000,-78.5221034000,Newbie shy,B2B,332.151770046
2698,-0.2315873000,-78.4489519000,Inactive,B2B,0
2644,-2.1992862000,-79.8907515000,Loyal shy,B2B,78.641703296
1811,-0.2441990000,-78.4950674000,Inactive,B2B,48.68874961
6163,-2.1690870000,-79.7993480000,Inactive,B2B,0
1509,-0.1744295000,-78.4879086000,Inactive,B2B,0
1832,-2.1947771000,-79.8921772000,Inactive,B2B,40.0008
4065,-0.8844505000,-78.6153588000,Inactive,B2B,0
4164,-0.9284442000,-78.6211926000,Inactive,B2B,0
2257,-2.0824427000,-79.9522222000,At risk shy,B2B,134.555859813
555,-0.2588951000,-78.5068942000,Inactive,B2B,0
2786,-0.2101488000,-78.3861201000,Inactive,B2B,0
4997,-0.2755240000,-79.1662932000,Newbie shy,B2B,164.765021383
6213,-0.1485754000,-78.4744644000,Inactive,B2B,0
513,-0.2822944000,-78.5408508000,Inactive,B2B,63.4400544
472,-0.0341098000,-78.5589216000,Inactive,B2B,1502.326930176
402,-0.2931973000,-78.4776068000,At risk shy,B2B,423.091097027
310,-0.3061474000,-78.5432986000,Inactive,B2B,0
3588,-2.2115142000,-79.9417620000,About to sleep,B2B,10.486254037
3496,0.2276815000,-78.2600128000,Loyal confident,B2B,2662.81215632
1703,-2.2046568000,-79.9304662000,Champion confident,B2B,5039.593189364
4776,-2.1157400000,-80.0055622000,Newbie shy,B2B,122.22895776
1496,-2.0959675000,-79.9603812000,Champion confident,B2B,6352.423501129
5078,-2.1061928000,-79.9655339000,Newbie Confident,B2B,1548.26722512
3472,0.3438629000,-78.1406868000,Inactive,B2B,0
1369,-2.2018562000,-79.9286069000,About to sleep,B2B,1.606938667
138,-0.2865130000,-78.5633834000,Loyal confident,B2B,7500.724297855
1385,-2.1292899000,-79.9349242000,Loyal shy,B2B,181.99240304
3285,-0.4677826000,-78.5852054000,Champion confident,B2B,1471.85411751
512,0.0041256000,-78.4410732000,Inactive,B2B,0
3423,-0.2134992000,-78.4076206000,Inactive,B2B,0
2063,-0.3220424000,-78.5646681000,Champion confident,B2B,1473.688011335
5320,-0.2154248000,-78.4305937000,Inactive,B2B,0
3360,-0.1742758000,-78.4767892000,Inactive,B2B,0
934,-0.3179393000,-78.5455437000,About to sleep,B2B,4105.77840214
3767,-0.2391875000,-79.1658165000,Newbie shy,B2B,274.132294182
3786,0.3628451000,-78.1218649000,Inactive,B2B,0
1885,-2.2301354000,-79.9114686000,Champion confident,B2B,18577.848672967
2810,-2.1920804000,-79.8897628000,Champion confident,B2B,6841.492493129
1242,-0.2759207000,-78.5413028000,At risk shy,B2B,340.506120195
766,-0.0782496000,-78.4424775000,Inactive,B2B,4643.2824
311,-0.0744278000,-78.4581360000,About to sleep,B2B,150.1248
2776,-0.2621017000,-78.5407078000,Inactive,B2B,0
3405,-0.2921524000,0.0000000000,Loyal shy,B2B,366.254592826
5363,-0.2168303000,0.0000000000,Inactive,B2B,0
1015,-0.2139291000,0.0000000000,Loyal shy,B2B,558.265033923
4695,-2.2153505000,-79.9311997000,Inactive,B2B,0
5565,0.2434375000,0.0000000000,Inactive,B2B,0
121,-0.0872321000,-78.4386595000,Loyal confident,B2B,1642.290546912
3667,0.3355658000,-78.1322638000,Inactive,B2B,0
4046,-0.2414111000,-79.1892437000,Inactive,B2B,0
133,-0.0908924000,-78.4311843000,Loyal confident,B2B,5932.084816
2464,-0.0765973000,-78.4353806000,About to sleep,B2B,80.645917867
2293,-2.1543332000,-79.8279603000,Champion confident,B2B,17279.408552
869,-0.2731157000,-78.5471199000,Inactive,B2B,0
2030,-0.3043284000,-78.4244056000,Inactive,B2B,1208.536
2633,-0.1941547000,-78.4941669000,Inactive,B2B,0
163,-0.1941446000,-78.3890984000,Inactive,B2B,0
3875,-0.2369606000,0.0000000000,Inactive,B2B,0
6076,-0.3144093000,-78.4578659000,Inactive,B2B,0
1058,-0.2934086000,-78.4772269000,At risk shy,B2B,314.662226772
2529,-0.3345537000,-78.5278216000,At risk shy,B2B,634.433927808
