id,lat,lng,segment,app_type,acum_total
2935,19.4751916000,-99.0678179000,Inactive,B2B,0
802,19.5548518000,-99.1796774000,About to sleep,B2B,27568.75778
4087,19.3362265000,-99.0142867000,Newbie shy,B2B,424.4908
1758,19.5982170000,-99.0222775000,Champion confident,B2B,36925.8868784
3184,19.6486938000,-99.0630616000,Inactive,B2B,0
1826,19.5655320000,-99.2021044000,Inactive,B2B,0
2415,19.4555792000,-99.2453572000,Inactive,B2B,0
2672,19.5293502000,-99.2192651000,Inactive,B2B,0
2594,19.5517683000,-99.0290272000,Inactive,B2B,0
2887,19.6060954000,-99.1532844000,Newbie shy,B2B,4699.16
1918,19.5095845000,-99.1689466000,Inactive,B2B,0
5842,19.6406420000,-98.9827449000,Newbie shy,B2B,206.03970015
5777,19.6224126000,-99.1620854000,Inactive,B2B,0
2217,19.4634770000,-99.1125197000,Inactive,B2B,0
1652,19.4732338000,-99.1833423000,Inactive,B2B,0
5785,19.5038401000,-99.2757311000,Inactive,B2B,0
1337,19.6398179000,-99.0919077000,Inactive,B2B,0
1465,19.5659073000,-99.0633405000,Inactive,B2B,0
739,19.5714058000,-99.1880702000,At risk confident,B2B,15185.627551111
4300,19.5965789000,-99.2149198000,Inactive,B2B,0
695,19.4748153000,-99.1503701000,Inactive,B2B,0
5778,19.5339965000,-99.0471559000,Inactive,B2B,0
975,19.5559114000,-99.1734676000,Champion confident,B2B,169940.929161639
4338,19.4433865000,-98.9673737000,Inactive,B2B,0
840,19.5242021000,-99.1721474000,Champion confident,B2B,125645.440667526
2920,19.5653203000,-99.2016332000,Inactive,B2B,0
1836,19.4345189000,-99.0975130000,Inactive,B2B,0
638,19.5655320000,-99.2021044000,Inactive,B2B,0
398,19.5392265000,-99.2229000000,Inactive,B2B,0
328,19.6501137000,-99.1595232000,Inactive,B2B,0
4083,19.4774687000,-99.0882382000,Inactive,B2B,0
4259,19.4325515000,-99.1595000000,Inactive,B2B,0
1066,19.6335598000,-99.3540314000,Champion confident,B2B,9117.898057778
1269,19.5955682000,-99.0045005000,Inactive,B2B,0
3370,19.5217933000,-99.1651054000,Inactive,B2B,0
1690,19.5948916000,-99.0017610000,At risk shy,B2B,3925.588410667
2156,19.5210513000,-99.1353899000,Inactive,B2B,0
5843,19.4914968000,-99.0438855000,Inactive,B2B,0
1889,19.4928315000,-99.2016934000,Inactive,B2B,0
2003,19.5220036000,-99.0691569000,Inactive,B2B,0
3948,19.6052508000,-99.2294091000,Inactive,B2B,0
2115,19.4551439000,-99.0966069000,Loyal confident,B2B,108634.778129032
177,19.5409278000,-99.1933885000,Inactive,B2B,0
1922,19.4856928000,-99.2276591000,Loyal shy,B2B,504.1862976
1386,19.5548913000,-99.2580964000,Champion confident,B2B,19438.099237818
2794,19.5744504000,-99.0714321000,Inactive,B2B,0
807,19.5686575000,-99.2391265000,Inactive,B2B,0
2384,19.5653203000,-99.2016332000,Inactive,B2B,0
60,19.5653203000,-99.2016332000,Inactive,B2B,0
1175,19.4576260000,-99.2637921000,Loyal shy,B2B,5209.374238628
1853,19.6319299000,-99.2875899000,Newbie shy,B2B,101.1994003
4371,19.6806047000,-99.1785823000,Inactive,B2B,0
2431,19.6019135000,-99.1752520000,Inactive,B2B,0
5742,19.6667657000,-99.1166511000,Newbie shy,B2B,3072.492
676,19.6397008000,-99.1697307000,About to sleep,B2B,128065.681053333
2100,19.6226814000,-99.3047430000,Champion confident,B2B,23993.977607476
1012,19.5775655000,-99.1944077000,About to sleep,B2B,506.1663712
3234,19.5653226000,-99.1310039000,Newbie shy,B2B,6426.4
1522,19.4787255000,-99.1291066000,Inactive,B2B,0
780,19.4543754000,-99.2387779000,At risk confident,B2B,238236.135809032
687,19.6462450000,-99.1844704000,Inactive,B2B,1100.84928
2327,19.6006373000,-99.2613361000,About to sleep,B2B,38188.36
3907,19.5140395000,-99.0517309000,Inactive,B2B,0
376,19.5112365000,-99.0743444000,At risk shy,B2B,7459.696525333
5371,19.4877493000,-99.0961585000,Inactive,B2B,0
5272,19.5094486000,-99.0175763000,Newbie shy,B2B,2792.7
2375,19.5392354000,-99.1944100000,Inactive,B2B,0
1243,19.5890499000,-99.0051285000,About to sleep,B2B,220.0056
1111,19.5653203000,-99.2016332000,Inactive,B2B,0
4391,19.4582711000,-99.2713277000,Newbie Confident,B2B,97560.163008
5607,19.6333917000,-99.0568724000,Newbie shy,B2B,4306.5
3123,19.5711012000,-99.1945984000,Champion confident,B2B,77268.501712341
4373,19.4128907000,-99.0912767000,Newbie shy,B2B,3818.799151137
1349,19.5150347000,-99.2481987000,Inactive,B2B,0
231,19.5363664000,-99.1784072000,Champion confident,B2B,81691.646242112
4755,19.5487568000,-99.1645775000,Inactive,B2B,0
266,19.6276729000,-99.1702471000,Inactive,B2B,0
2178,19.4748207000,-99.1740859000,Inactive,B2B,0
1969,19.6049893000,-99.0222336000,Loyal confident,B2B,11992.428
5544,19.5456088000,-99.1613778000,Inactive,B2B,0
5823,19.5164740000,-99.0658459000,Inactive,B2B,0
2144,19.5901885000,-99.0427375000,Inactive,B2B,0
3595,19.4165887000,-99.1107927000,Inactive,B2B,0
2237,19.5313278000,-99.1587829000,Inactive,B2B,0
1224,19.5395599000,-99.0179977000,Inactive,B2B,0
3223,19.6426009000,-99.1593698000,Inactive,B2B,0
4246,19.4483569000,-99.1548340000,Newbie shy,B2B,1556.659240704
4247,19.4727759000,-99.0823433000,Inactive,B2B,0
3241,19.4695867000,-99.0747704000,Loyal shy,B2B,1396.176
5840,19.6002649000,-99.0107790000,Inactive,B2B,0
3240,19.6122146000,-99.2882893000,Inactive,B2B,0
5260,19.5656916000,-99.1995537000,Inactive,B2B,0
865,19.5035680000,-99.2803099000,Newbie shy,B2B,3241.8984
696,19.5031976000,-99.2779546000,Inactive,B2B,0
397,19.5653204000,-99.2016332000,Inactive,B2B,0
442,19.6041999000,-99.1665873000,About to sleep,B2B,517.77412
2520,19.4933572000,-99.1760567000,About to sleep,B2B,1781.76
1971,19.4236831000,-99.0643587000,About to sleep,B2B,695.362
4457,19.4171735000,-99.0930104000,Inactive,B2B,0
1149,19.5630352000,-99.1355286000,Inactive,B2B,0
3593,19.5071901000,-99.0956887000,Newbie Confident,B2B,15408.96092
3210,19.6231069000,-99.2033838000,Newbie shy,B2B,835.69532
4984,19.5614327000,-99.2472719000,Inactive,B2B,0
2277,19.4089911000,-99.1207670000,Newbie shy,B2B,3257.28
4697,19.4244903000,-99.1083701000,Newbie shy,B2B,382.98502
4740,19.4765889000,-99.1382704000,Inactive,B2B,0
5028,19.4790762000,-99.0839667000,Inactive,B2B,0
4534,19.5450046000,-99.2274850000,Inactive,B2B,0
365,19.4065875000,-99.1362671000,Inactive,B2B,0
1729,19.5312596000,-99.0165662000,Inactive,B2B,0
1541,19.5717033000,-99.0542799000,Inactive,B2B,0
4027,19.6162709000,-99.0115125000,Newbie shy,B2B,1990.93932
1892,19.5035707000,-99.0672189000,At risk shy,B2B,2067.168
5496,19.5130485000,-99.0739272000,Inactive,B2B,0
1515,19.5306039000,-99.0325139000,Inactive,B2B,0
1267,19.6325652000,-99.0745262000,Inactive,B2B,0
2665,19.5424341000,-99.0753485000,Inactive,B2B,0
754,19.4940827000,-99.2146285000,Inactive,B2B,0
1176,19.5983053000,-99.1654634000,Newbie shy,B2B,2792.7
4498,19.5489167000,0.0000000000,Newbie Confident,B2B,10925.05359087
2296,19.6580416000,-99.1138911000,About to sleep,B2B,7388.19892
1063,19.6095860000,-99.0667077000,About to sleep,B2B,6095.22
634,19.5083170000,-99.2047475000,Loyal confident,B2B,16173.782299421
4892,19.5216202000,-99.1761330000,Inactive,B2B,0
3135,19.4894559000,-99.1345682000,Inactive,B2B,0
4155,19.4473047000,-99.0933397000,Inactive,B2B,0
3783,19.6327728000,-99.0801937000,Inactive,B2B,0
4709,19.5314982000,-99.0544450000,Inactive,B2B,0
3953,19.5654651000,-99.2023664000,Inactive,B2B,0
2275,19.6127097000,-99.3185679000,Champion confident,B2B,62298.53598222
932,19.5656647000,-99.1996093000,Inactive,B2B,0
2233,19.5106286000,-99.0435709000,Inactive,B2B,0
3804,19.4921734000,-99.0853006000,Inactive,B2B,0
4797,19.4196696000,-99.0888478000,Inactive,B2B,0
2222,19.5222058000,-99.0516669000,Inactive,B2B,0
4830,19.6493610000,-99.1676837000,Newbie shy,B2B,305.674714296
5146,19.5972598000,-99.1586524000,Inactive,B2B,0
1253,19.5252908000,-99.0191916000,Loyal confident,B2B,81943.3204
4878,19.5134611000,-99.0309649000,Inactive,B2B,0
1487,19.5742126000,-99.0562155000,Inactive,B2B,0
1712,19.5528104000,-99.0177478000,At risk shy,B2B,960.552466822
596,19.5653203000,-99.2016332000,Inactive,B2B,0
368,19.5760337000,-99.2465354000,Inactive,B2B,3644.290510169
2053,19.4466247000,-99.0927287000,Inactive,B2B,0
991,19.4728922000,-99.1442359000,Inactive,B2B,0
1684,19.4091247000,-99.0845112000,Inactive,B2B,0
2561,19.4716414000,-99.1590424000,Champion shy,B2B,7267.692535832
5822,19.4404158000,-99.1192529000,Inactive,B2B,0
4840,19.3596551000,-99.1167805000,Inactive,B2B,0
2701,19.4604788000,-99.2752031000,At risk confident,B2B,49359.392
995,19.5664450000,-99.2018256000,Inactive,B2B,0
4450,19.5128462000,-99.1096750000,Newbie shy,B2B,2179.368545055
2096,19.4329770000,-99.1008840000,Champion shy,B2B,3491.306777778
3515,19.4943186000,-99.0710356000,Newbie shy,B2B,5853.6
804,19.6651392000,-99.2139528000,Champion confident,B2B,13157.732442528
3236,19.6432538000,-99.1601887000,At risk shy,B2B,8329.728
2829,19.5948346000,-99.3062111000,Newbie shy,B2B,5635.0712
1665,19.5902990000,-99.0444289000,Inactive,B2B,0
5280,19.5926763000,-99.1766459000,Newbie shy,B2B,2795.73804
2218,19.4857027000,-99.1429684000,Inactive,B2B,0
3091,19.4503738000,-99.0694559000,At risk shy,B2B,4420.082817778
350,19.5653204000,-99.2016332000,Inactive,B2B,0
1435,19.5958051000,-99.2915266000,About to sleep,B2B,7197.68284
2879,19.4872476000,-99.0986221000,At risk shy,B2B,789.9136
4790,19.5653204000,-99.2016332000,Inactive,B2B,0
805,19.5283413000,-99.1628598000,Inactive,B2B,0
2191,19.6090308000,-99.0211665000,About to sleep,B2B,34212.681903819
2736,19.6023562000,-99.2841775000,Inactive,B2B,0
2278,19.6441517000,-99.1712498000,Inactive,B2B,0
1954,19.5354807000,-99.0998822000,Champion confident,B2B,126195.961047641
299,19.6550385000,-99.1727924000,Newbie shy,B2B,2881.44
3720,19.5274684000,-99.2038481000,Inactive,B2B,0
5591,19.5979241000,-99.1541204000,Inactive,B2B,0
3822,19.5570344000,-99.2039304000,Newbie shy,B2B,3278.52
1884,19.4961693000,-99.0531809000,Inactive,B2B,0
1932,19.4401244000,-99.2519876000,Inactive,B2B,0
5340,19.6178798000,-99.1590950000,Inactive,B2B,0
1366,19.4861470000,-99.2448474000,At risk shy,B2B,3237.0264
3592,19.5211295000,-99.2285126000,Inactive,B2B,0
2667,19.4614154000,-99.2296929000,Inactive,B2B,0
5527,19.4857027000,-99.1429684000,Inactive,B2B,0
1745,19.6781663000,-99.0867974000,Champion confident,B2B,9992.042632144
1315,19.5653203000,-99.2016332000,Inactive,B2B,0
4798,19.5314267000,-99.1528760000,Inactive,B2B,0
1397,19.5560093000,-99.2523045000,Inactive,B2B,0
772,19.5350087000,-99.1737888000,Inactive,B2B,0
2335,19.4484797000,-99.1080154000,Inactive,B2B,0
1475,19.6102193000,-99.0590991000,Inactive,B2B,0
2713,19.4595087000,-99.2721796000,Inactive,B2B,0
3127,19.6402910000,-99.2863513000,Loyal confident,B2B,375008.38752
1724,19.5979762000,-99.0241370000,Loyal shy,B2B,3669.696531574
1910,19.4419903000,-99.0805832000,Inactive,B2B,0
3498,19.6688909000,-99.0897572000,Inactive,B2B,0
3117,19.6457341000,-99.2972086000,At risk shy,B2B,2688.115403153
3301,19.4720482000,-99.2144779000,Inactive,B2B,0
2521,19.6436389000,-99.1082143000,About to sleep,B2B,62643.95676
4357,19.5704280000,-99.2187272000,Inactive,B2B,0
2174,19.4435748000,-99.2942619000,Inactive,B2B,0
2034,19.4732330000,-99.1548908000,About to sleep,B2B,560.483
2186,19.6326292000,-99.0533788000,Loyal confident,B2B,12178.962099293
2117,19.4436055000,-99.0995767000,About to sleep,B2B,118.9696
2137,19.5351094000,-99.1582900000,Loyal shy,B2B,5636.7648
2015,19.4394184000,-99.2580899000,At risk shy,B2B,1180.483447304
3817,19.5468817000,-99.2221373000,Inactive,B2B,0
404,19.5251019000,-99.2075505000,Inactive,B2B,0
5356,19.5176155000,-99.0185741000,Inactive,B2B,0
3318,19.5604558000,-99.0478712000,Inactive,B2B,0
142,19.5645489000,-99.2032395000,At risk shy,B2B,1472.794751166
1498,19.5147227000,-99.0594241000,Newbie shy,B2B,1628.64
4791,19.6089246000,-98.9964201000,Inactive,B2B,0
5089,19.6319793000,-99.0189088000,Inactive,B2B,0
4889,19.6430451000,-99.1149200000,Inactive,B2B,0
1179,19.5971613000,-99.1669921000,About to sleep,B2B,195816.78932
3945,19.5654606000,-99.2021331000,Inactive,B2B,0
427,19.5653204000,-99.2016332000,Inactive,B2B,0
724,19.5489132000,-99.1246315000,Inactive,B2B,0
1765,19.5863087000,-99.0160711000,About to sleep,B2B,5624.99892
4700,19.4173430000,-99.1372418000,Inactive,B2B,0
734,19.5653203000,-99.2016332000,Inactive,B2B,0
929,19.5656642000,-99.1996253000,At risk shy,B2B,1611.2
3865,19.6025176000,-99.0066214000,Newbie Confident,B2B,115545.395055683
977,19.5923615000,-99.1782200000,Inactive,B2B,0
4291,19.3667222000,-99.1206228000,Inactive,B2B,0
2332,19.6143049000,-99.3354359000,Inactive,B2B,0
2954,19.5060784000,-99.1223622000,Inactive,B2B,0
5505,19.5307917000,-99.2019982000,Inactive,B2B,0
769,19.6628593000,-99.2058330000,Inactive,B2B,0
2776,19.5366621000,-99.0622885000,Inactive,B2B,0
1194,19.6002390000,-99.2627480000,Inactive,B2B,0
721,19.6601925000,-99.1290236000,At risk shy,B2B,15348.917
2150,19.5501057000,-99.1477349000,Loyal confident,B2B,156522.853504
5324,19.6732486000,-99.1737788000,Inactive,B2B,0
2304,19.6349420000,-99.0550457000,Inactive,B2B,0
2807,19.4924720000,-99.2156730000,Inactive,B2B,0
