lat,lng
4.55,-74.12
4.99,-74.34
4.66,-74.13
4.50,-74.10
5.03,-74.00
4.75,-74.14
4.54,-74.10
4.87,-74.06
4.89,-74.04
4.47,-74.12
4.70,-74.02
4.76,-74.16
4.60,0.00
4.90,-74.03
4.90,-74.19
4.47,-74.15
4.64,-74.18
4.51,-74.12
4.64,-74.10
4.66,-74.07
4.58,-74.23
4.56,-74.24
4.75,-74.12
4.75,-74.11
4.52,-74.11
4.60,-74.20
4.60,-74.16
4.62,-74.21
4.59,-74.19
4.57,-74.18
4.57,-74.22
4.59,-74.16
4.61,-74.07
4.68,-74.15
4.64,-74.06
4.91,-74.10
4.61,-74.09
4.63,-74.13
4.62,-74.12
4.61,-74.21
4.59,-74.18
4.67,-74.15
4.69,-74.17
4.55,-74.11
4.71,-74.08
4.57,-74.07
4.86,-74.05
5.00,0.00
4.63,-74.10
4.68,-74.14
4.71,-74.20
4.65,-74.07
4.65,-74.09
4.74,-74.12
4.58,-74.19
4.57,-74.21
4.57,-74.17
4.75,-74.07
4.60,-74.14
4.59,-74.12
4.65,0.00
4.58,-74.18
4.54,-74.13
4.47,-74.13
4.75,-73.95
4.59,-74.22
4.67,-74.16
4.77,-74.02
5.01,-73.87
4.94,-74.02
5.01,0.00
4.74,-74.28
4.74,-74.35
4.71,-74.02
4.86,-74.07
4.82,-75.73
4.52,-74.24
4.80,-74.34
4.99,-73.87
4.55,-74.13
4.98,-74.31
4.53,-74.24
4.73,-74.13
4.48,-74.12
4.64,-74.17
4.58,-74.24
4.65,-74.06
4.64,-74.08
4.52,-74.09
4.74,-74.05
4.81,-74.10
3.98,-73.76
4.66,-74.12
4.58,-74.21
4.55,-74.16
4.81,-74.36
4.59,-74.09
4.56,-74.09
4.58,-74.22
4.60,-74.07
4.69,-74.13
4.51,-74.15
4.68,-74.13
4.60,-74.10
4.71,-74.22
4.59,-74.14
4.61,-74.13
4.73,-74.26
4.60,-74.13
4.63,-74.11
4.73,-74.28
4.62,-74.18
4.66,-74.14
4.67,-74.10
4.73,-74.06
5.02,-74.00
4.64,-74.15
4.53,-74.12
4.64,-74.07
4.70,-74.03
4.56,0.00
4.65,-74.05
4.53,-74.11
4.72,-74.09
4.64,-74.19
4.69,-74.08
4.72,-74.07
4.57,-74.11
4.66,-74.08
4.53,-74.08
4.68,-74.12
4.72,-74.21
4.58,-74.14
4.96,-74.44
4.86,-74.06
4.70,-74.14
7.08,-73.13
4.79,-74.21
5.04,-74.00
4.88,-74.04
4.76,-74.12
4.98,-73.88
4.87,-73.88
1.22,-77.29
4.92,-74.10
4.66,-74.16
4.82,-74.11
4.29,-74.80
4.61,0.00
7.06,-73.08
5.01,-74.48
5.02,-73.98
4.76,-74.01
3.47,-76.53
4.59,-74.23
4.63,-74.17
4.74,-74.04
