lat,lng
19.47,-99.23
19.39,-98.94
19.68,-99.17
19.34,-98.95
19.34,-99.03
19.55,-98.86
19.48,-99.15
19.46,-99.26
19.43,-99.10
19.55,-99.23
19.37,-98.97
19.32,-99.08
19.53,-99.09
19.39,-98.97
19.42,-98.98
19.61,-99.00
19.66,-99.10
19.33,-99.01
19.70,-99.13
19.47,-99.04
19.59,-99.25
19.57,-99.03
19.47,-99.18
19.59,-99.28
19.41,-99.02
19.35,-98.99
19.49,-99.18
19.59,-98.90
19.51,-99.08
19.62,-99.34
19.53,-99.10
19.38,-98.94
19.65,-98.99
19.62,-99.15
19.54,-99.04
19.60,-99.00
19.38,-99.03
19.47,-99.15
19.55,-99.14
19.69,-99.09
19.38,-99.10
19.43,-98.98
19.42,-99.03
19.62,-99.13
19.47,-99.19
19.43,-98.94
19.56,-99.05
19.65,-99.07
19.60,-98.97
19.39,-99.03
19.57,-98.91
19.51,-99.10
19.63,-99.23
19.31,-98.97
19.63,-99.01
19.45,-98.88
19.48,-99.20
19.56,-98.90
19.31,-99.06
19.69,-99.23
19.68,-99.20
19.64,-99.32
19.53,-98.87
19.49,-98.91
19.53,-99.27
19.31,-99.05
19.30,-99.10
19.78,-99.01
19.58,-99.23
19.37,-99.03
19.32,-98.96
19.54,-99.16
19.77,-98.97
19.43,-99.19
19.54,-99.11
19.66,-99.25
19.44,-99.17
19.69,0.00
19.30,-99.01
19.44,-98.91
19.43,-98.88
19.48,-98.83
19.53,-98.88
19.65,-99.15
19.62,-99.32
19.54,-98.83
19.57,0.00
19.50,-98.88
19.70,-99.20
19.44,-99.31
19.36,-98.95
19.73,-98.97
19.69,-99.15
19.43,-99.22
19.43,-99.09
21.88,-102.30
19.28,-98.94
19.75,-99.22
19.59,-99.33
19.46,-98.87
19.53,-99.13
19.37,-99.06
19.51,-98.76
19.65,-99.01
19.46,-98.85
19.39,-99.18
19.61,-98.90
19.68,-99.37
19.45,-98.85
19.49,-99.29
19.50,-99.05
19.49,-99.20
19.64,-99.30
19.56,-98.88
19.60,-99.31
19.55,-99.26
19.38,-98.99
19.63,-99.30
19.54,-99.19
19.61,-99.03
19.68,-99.18
19.64,-99.16
19.65,-99.11
19.51,-99.03
19.39,-99.00
19.50,-98.87
19.52,-99.09
19.36,-99.07
19.31,-99.07
19.62,-99.22
19.63,-99.04
19.63,-99.29
19.54,-99.15
19.64,-99.09
19.64,-99.06
19.62,-99.05
19.41,-99.05
19.56,-99.23
19.59,-99.27
19.65,-99.29
19.48,-99.11
19.54,-99.07
19.39,-98.91
19.62,-99.30
19.65,-99.30
19.59,-99.29
19.36,-98.98
19.30,-99.03
19.48,-99.18
19.63,-99.03
19.52,-99.20
19.58,-98.92
19.53,-99.23
19.33,-99.13
19.51,-99.04
19.59,-99.19
19.49,-99.27
19.60,-99.22
19.50,-99.04
19.42,-99.09
19.56,-99.14
19.39,-99.11
19.38,-98.98
19.60,-98.98
19.50,-99.10
19.54,-99.14
19.49,-99.08
19.49,-99.06
19.64,-99.10
19.41,-99.01
19.40,-98.92
19.53,-99.14
19.60,-98.99
19.38,-99.14
19.43,-98.92
19.40,-99.07
19.60,-99.24
19.77,-99.00
19.62,-99.17
19.41,-99.04
19.42,-99.16
19.47,-98.90
19.50,-99.17
19.45,-99.11
19.60,-98.96
19.60,-99.29
19.38,-98.93
19.63,-99.21
19.50,-99.18
19.47,-99.22
19.50,-99.19
19.50,-99.02
19.47,-99.20
19.62,-99.00
19.56,-99.08
19.41,-98.99
19.55,-99.07
19.61,-98.92
19.40,-99.03
19.70,-99.18
19.46,-99.22
19.55,-99.21
19.53,-99.16
19.65,-99.18
19.52,-99.21
19.78,-99.00
19.46,-99.17
19.58,-98.93
19.55,-99.11
19.67,-98.96
19.66,-99.08
19.68,-99.13
19.41,-99.18
19.59,-99.20
19.62,-99.11
19.44,-98.90
19.38,-99.07
19.29,-99.07
19.37,-99.15
19.73,-99.19
19.63,-99.20
19.43,-98.91
19.47,-98.80
19.66,-99.07
19.36,-98.96
19.39,-99.14
19.67,-98.99
19.44,0.00
19.41,-99.20
19.77,-99.02
19.62,-99.14
19.54,-98.90
19.38,-99.09
19.30,-98.95
19.48,-98.89
19.55,-98.80
19.68,-99.22
19.63,-98.89
19.36,-98.94
19.44,-99.30
19.61,-99.08
19.68,-99.28
19.62,-98.94
19.67,-98.95
19.36,-98.99
19.74,-99.08
19.69,-99.10
19.69,-99.25
19.58,-98.91
19.77,-98.99
19.67,-99.25
19.41,-99.28
19.43,-99.12
19.51,-99.14
19.51,-98.82
19.68,-99.38
19.73,-99.20
19.49,-99.16
19.48,-98.82
19.65,-99.38
19.75,-99.18
19.64,-99.28
19.32,-98.94
19.42,-99.23
19.40,-99.01
19.68,-99.21
19.66,-99.24
19.37,-99.01
19.38,-98.96
19.45,-99.25
19.63,-99.10
19.56,-99.25
19.69,-99.13
19.62,-99.02
19.40,-99.02
19.50,-99.27
19.62,-99.31
