,0
1290,89662254cabffff
1291,89662254c3bffff
1292,89662256b87ffff
1293,8966220a25bffff
1294,89662254dd3ffff
1295,89662256b27ffff
1296,8966220b69bffff
1297,8966220b527ffff
1298,89662256957ffff
1299,89662256a03ffff
1300,89662208e93ffff
1301,89662208383ffff
1302,89662208173ffff
1303,89662209d97ffff
1304,896622083b7ffff
1305,89662208ed3ffff
1306,8966220817bffff
1307,8966220814fffff
1308,89662208c5bffff
1309,89662208e9bffff
1310,8966220810bffff
1311,8966220838bffff
1312,8966220832bffff
1313,8966220812fffff
1314,89662208127ffff
1315,89662208333ffff
1316,89662208387ffff
1317,896622083bbffff
1318,89662208e97ffff
1319,8966220832fffff
1320,89662209d93ffff
1321,8966220830fffff
1322,8966220838fffff
1323,896622083b3ffff
1324,89662208edbffff
1325,89662208323ffff
1326,89662208303ffff
1327,89662208317ffff
1328,8966220816bffff
1329,89662208ec3ffff
1330,896622083a7ffff
1331,89662208167ffff
1332,89662208337ffff
1333,89662208327ffff
1334,8966220814bffff
1335,89662209d87ffff
1336,89662208e8bffff
1337,89662208313ffff
1338,896622083abffff
1339,89662208ed7ffff
1340,896622083a3ffff
1341,8966220816fffff
1342,89662208307ffff
1343,896622083afffff
1344,8966220812bffff
1345,8966220839bffff
1346,8966220833bffff
1347,89662208147ffff
1348,89662208163ffff
1349,89662209263ffff
1350,89662254b23ffff
1351,896622461b7ffff
1352,89662246433ffff
1353,8966224656bffff
1354,896622096cbffff
1355,896622460afffff
1356,896622463dbffff
1357,896622461d7ffff
1358,89662246517ffff
1359,8966220936bffff
1360,8966220906bffff
1361,89662209227ffff
1362,896622465a3ffff
1363,896622460cfffff
1364,89662246237ffff
1365,89662246c03ffff
1366,8966224638bffff
1367,8966225497bffff
1368,89662246c17ffff
1369,8966220969bffff
1370,89662246c97ffff
1371,896622461abffff
1372,8966224652fffff
1373,89662246c13ffff
1374,89662246567ffff
1375,89662254bb3ffff
1376,89662254ba3ffff
1377,896622463cbffff
1378,8966224600bffff
1379,896622465cbffff
1380,8966224650fffff
1381,8966224614fffff
1382,89662246c1bffff
1383,89662254babffff
1384,89662246c33ffff
1385,89662209223ffff
1386,89662209233ffff
1387,89662246003ffff
1388,896622465b7ffff
1389,896622463d3ffff
1390,89662246233ffff
1391,89662244497ffff
1392,89662209613ffff
1393,89662246177ffff
1394,8966220965bffff
1395,896622096c7ffff
1396,896622096c3ffff
1397,89662246513ffff
1398,896622093c3ffff
1399,896622465a7ffff
1400,8966224611bffff
1401,8966220931bffff
1402,89662246ca7ffff
1403,896622461bbffff
1404,89662209653ffff
1405,8966224657bffff
1406,8966220926fffff
1407,896622461d3ffff
1408,89662246383ffff
1409,8966224608fffff
1410,89662209693ffff
1411,89662246cb7ffff
1412,89662246187ffff
1413,89662246597ffff
1414,8966224652bffff
1415,896622460b3ffff
1416,8966224603bffff
1417,89662254933ffff
1418,896622460b7ffff
1419,89662246037ffff
1420,8966224614bffff
1421,89662254973ffff
1422,8966224618fffff
1423,89662254b33ffff
1424,89662246553ffff
1425,89662246183ffff
1426,8966224653bffff
1427,89662254947ffff
1428,89662254bafffff
1429,89662246153ffff
1430,8966224617bffff
1431,89662254ba7ffff
1432,89662246587ffff
1433,8966224610bffff
1434,8966224618bffff
1435,8966224622bffff
1436,89662246223ffff
1437,8966224602fffff
1438,896622093cfffff
1439,89662246093ffff
1440,89662246133ffff
1441,896622461cbffff
1442,89662246107ffff
1443,8966220968bffff
1444,896622465bbffff
1445,8966220923bffff
1446,89662254b3bffff
1447,89662246387ffff
1448,8966220924bffff
1449,8966220927bffff
1450,89662209363ffff
1451,89662246227ffff
1452,89662246117ffff
1453,89662254b87ffff
1454,896622461c3ffff
1455,89662209277ffff
1456,89662246113ffff
1457,896622093c7ffff
1458,89662254b07ffff
1459,89662246097ffff
1460,89662254977ffff
1461,89662246557ffff
1462,89662246427ffff
1463,89662254923ffff
1464,89662246193ffff
1465,896622461afffff
1466,8966224600fffff
1467,89662246ccbffff
1468,89662246163ffff
1469,8966220922bffff
1470,896622461dbffff
1471,89662209237ffff
1472,8966224609bffff
1473,89662246547ffff
1474,89662246023ffff
1475,8966225492fffff
1476,896622462afffff
1477,896622463d7ffff
1478,896622096d7ffff
1479,8966220934fffff
1480,8966224654bffff
1481,8966224642bffff
1482,8966224610fffff
1483,8966225493bffff
1484,89662209267ffff
1485,8966220924fffff
1486,8966225492bffff
1487,89662246c87ffff
1488,8966220961bffff
1489,89662246157ffff
1490,89662246573ffff
1491,89662246147ffff
1492,89662246027ffff
1493,8966224613bffff
1494,896622460a7ffff
1495,89662246527ffff
1496,8966220922fffff
1497,89662246c8fffff
1498,896622460cbffff
1499,89662246423ffff
1500,89662246563ffff
1501,8966225494bffff
1502,89662246083ffff
1503,8966224654fffff
1504,89662246583ffff
1505,89662246ccfffff
1506,89662246137ffff
1507,89662246067ffff
1508,8966225490fffff
1509,896622460bbffff
1510,896622465b3ffff
1511,896622465afffff
1512,8966224608bffff
1513,8966224619bffff
1514,89662209273ffff
1515,8966225494fffff
1516,896622093dbffff
1517,89662246017ffff
1518,8966224615bffff
1519,89662246c07ffff
1520,89662209353ffff
1521,89662246cc3ffff
1522,89662254b37ffff
1523,89662246523ffff
1524,89662209343ffff
1525,89662246537ffff
1526,89662244493ffff
1527,8966224616bffff
1528,896622096cfffff
1529,89662246197ffff
1530,896622463c3ffff
1531,89662246013ffff
1532,89662254927ffff
1533,8966220935bffff
1534,896622461a3ffff
1535,89662246577ffff
1536,89662246cc7ffff
1537,89662246c8bffff
1538,89662254967ffff
1539,89662246123ffff
1540,89662246437ffff
1541,8966224612bffff
1542,896622463c7ffff
1543,89662246007ffff
1544,8966220925bffff
1545,89662246393ffff
1546,89662246103ffff
1547,89662246cafffff
1548,8966224642fffff
1549,896622461b3ffff
1550,89662246143ffff
1551,89662246533ffff
1552,896622096d3ffff
1553,89662254b2fffff
1554,89662246cb3ffff
1555,896622461c7ffff
1556,89662246173ffff
1557,896622462a7ffff
1558,89662246cabffff
1559,8966224622fffff
1560,8966224635bffff
1561,89662254b27ffff
1562,89662254b17ffff
1563,896622092afffff
1564,89662246ca3ffff
1565,896622096dbffff
1566,8966220926bffff
1567,896622465abffff
1568,89662246c83ffff
1569,8966225496fffff
1570,896622092a3ffff
1571,8966220967bffff
1572,89662254963ffff
1573,89662246063ffff
1574,89662246cbbffff
1575,8966220964bffff
1576,8966220960bffff
1577,8966224650bffff
1578,89662209657ffff
1579,896622465cfffff
1580,89662254bb7ffff
1581,89662246503ffff
1582,896622461a7ffff
1583,8966224651bffff
1584,896622092a7ffff
1585,89662246507ffff
1586,896622460a3ffff
1587,896622093cbffff
1588,8966220968fffff
1589,8966224639bffff
1590,8966220937bffff
1591,896622460c7ffff
1592,89662246397ffff
1593,8966220964fffff
1594,89662246543ffff
1595,89662209243ffff
1596,89662246087ffff
1597,8966224658fffff
1598,89662246cdbffff
1599,89662209357ffff
1600,896622093d7ffff
1601,8966220934bffff
1602,89662246cd3ffff
1603,896622460abffff
1604,896622463b7ffff
1605,8966224602bffff
1606,8966225496bffff
1607,8966224601bffff
1608,89662209647ffff
1609,896622093d3ffff
1610,89662246c93ffff
1611,8966224606fffff
1612,89662254943ffff
1613,89662246c9bffff
1614,896622461cfffff
1615,89662246cd7ffff
1616,89662254bbbffff
1617,8966224655bffff
1618,89662209643ffff
1619,8966224656fffff
1620,89662246033ffff
