,0
301,8966220858bffff
302,8966220819bffff
303,89662208057ffff
304,8966220800bffff
305,89662208083ffff
306,89662208017ffff
307,89662208073ffff
308,8966220842bffff
309,89662208093ffff
310,8966220806bffff
311,8966220843bffff
312,8966220808fffff
313,8966220808bffff
314,89662208013ffff
315,8966220801bffff
316,89662208423ffff
317,89662208063ffff
318,8966220842fffff
319,89662208003ffff
320,89662208097ffff
321,896622080c7ffff
322,89662208403ffff
323,896622080c3ffff
324,896622082a7ffff
325,89662208047ffff
326,8966220800fffff
327,896622080d7ffff
328,8966220806fffff
329,8966220809bffff
330,89662208463ffff
331,89662208077ffff
332,8966220807bffff
333,896622082b7ffff
334,89662208473ffff
335,89662208407ffff
336,8966220841bffff
337,896622080cfffff
338,89662208467ffff
339,89662208477ffff
340,8966220840bffff
341,8966220840fffff
342,8966220846fffff
343,896622083d3ffff
344,89662209183ffff
345,89662209103ffff
346,89662209173ffff
347,8966220902fffff
348,89662208243ffff
349,8966220914fffff
350,89662209187ffff
351,89662209163ffff
352,8966220912bffff
353,89662209037ffff
354,896622091afffff
355,896622091abffff
356,8966220910fffff
357,896622091cbffff
358,89662209153ffff
359,896622093a7ffff
360,896622091bbffff
361,8966220916fffff
362,8966220826bffff
363,8966220916bffff
364,89662208247ffff
365,896622093b7ffff
366,896622091c7ffff
367,8966220918bffff
368,89662209027ffff
369,8966220911bffff
370,896622091a7ffff
371,89662209137ffff
372,89662209033ffff
373,8966220917bffff
374,896622091c3ffff
375,89662208263ffff
376,8966220824fffff
377,8966220915bffff
378,89662209117ffff
379,8966220824bffff
380,89662209147ffff
381,89662209cd3ffff
382,89662209cdbffff
383,89662209133ffff
384,896622091b3ffff
385,896622091d7ffff
386,89662208273ffff
387,896622093b3ffff
388,8966220827bffff
389,8966220914bffff
390,89662209123ffff
391,89662209113ffff
392,89662209ed3ffff
393,896622091a3ffff
394,89662209127ffff
395,89662209177ffff
396,896622091cfffff
397,89662209157ffff
398,89662209023ffff
399,89662209143ffff
400,896622091b7ffff
401,89662209edbffff
402,89662209167ffff
403,89662209107ffff
404,8966220918fffff
405,8966220913bffff
406,8966220910bffff
407,8966220821bffff
408,89662208257ffff
409,896622082d3ffff
410,8966220866fffff
411,896622080dbffff
412,8966220828fffff
413,89662208213ffff
414,89662208293ffff
415,8966220805bffff
416,89662208623ffff
417,89662208053ffff
418,89662208667ffff
419,896622082c7ffff
420,896622080cbffff
421,896622082d7ffff
422,89662208637ffff
423,896622082abffff
424,89662208607ffff
425,8966220820bffff
426,8966220828bffff
427,896622082a3ffff
428,8966220829bffff
429,896622082cfffff
430,89662208283ffff
431,8966220804bffff
432,89662208677ffff
433,89662208673ffff
434,8966220820fffff
435,896622082bbffff
436,896622082b3ffff
437,89662208633ffff
438,8966220862fffff
439,89662208287ffff
440,89662208297ffff
441,89662208203ffff
442,89662208663ffff
443,89662208217ffff
444,89662208207ffff
445,896622082c3ffff
446,8966220804fffff
447,89662208627ffff
448,8966220860fffff
449,8966220862bffff
450,8966220863bffff
451,89662208043ffff
452,8966220864bffff
453,896622082cbffff
454,896622082dbffff
455,89662209583ffff
456,89662208643ffff
457,8966220825bffff
458,89662209503ffff
459,89662209507ffff
460,89662209523ffff
461,896622095c7ffff
462,8966220958fffff
463,89662209577ffff
464,896622095a7ffff
465,8966220958bffff
466,8966220919bffff
467,896622095a3ffff
468,8966220867bffff
469,8966220951bffff
470,89662209193ffff
471,896622095b7ffff
472,896622095d7ffff
473,89662209567ffff
474,89662209517ffff
475,896622095b3ffff
476,89662209533ffff
477,896622095c3ffff
478,896622095afffff
479,8966220950fffff
480,8966220866bffff
481,89662209197ffff
482,8966220864fffff
483,8966220959bffff
484,89662209597ffff
485,8966220950bffff
486,89662208647ffff
487,8966220952fffff
488,89662208253ffff
489,896622095abffff
490,89662209587ffff
491,89662209513ffff
492,896622095bbffff
493,8966220952bffff
494,896622095cfffff
495,89662209537ffff
496,8966220953bffff
497,89662209527ffff
498,896622093bbffff
499,896622093abffff
500,89662209543ffff
501,896622090cfffff
502,89662209093ffff
503,8966220905bffff
504,8966220900bffff
505,89662209043ffff
506,89662209557ffff
507,896622095cbffff
508,89662209253ffff
509,8966220904fffff
510,89662209247ffff
511,89662209087ffff
512,896622090a7ffff
513,8966220906fffff
514,89662209347ffff
515,89662209547ffff
516,896622090d3ffff
517,896622090cbffff
518,89662209313ffff
519,89662209303ffff
520,89662209307ffff
521,8966220962bffff
522,896622095dbffff
523,896622090b3ffff
524,89662209073ffff
525,89662209293ffff
526,89662209047ffff
527,8966220928bffff
528,8966220907bffff
529,896622090afffff
530,8966220956fffff
531,8966220901bffff
532,8966220939bffff
533,89662209297ffff
534,896622092c7ffff
535,896622090dbffff
536,896622092c3ffff
537,8966220908bffff
538,896622092b3ffff
539,896622092cbffff
540,896622092d7ffff
541,8966220954fffff
542,89662209573ffff
543,89662209207ffff
544,89662209217ffff
545,896622091d3ffff
546,89662209283ffff
547,896622090b7ffff
548,896622092cfffff
549,896622092abffff
550,896622090a3ffff
551,89662209333ffff
552,8966220957bffff
553,89662209553ffff
554,8966220930bffff
555,89662209063ffff
556,8966220928fffff
557,896622090d7ffff
558,8966220903bffff
559,89662209287ffff
560,8966220921bffff
561,896622090c3ffff
562,8966220900fffff
563,89662209393ffff
564,89662209397ffff
565,8966220955bffff
566,8966220920fffff
567,89662209077ffff
568,8966220938bffff
569,89662209467ffff
570,8966220954bffff
571,89662209017ffff
572,896622090bbffff
573,89662209097ffff
574,89662209003ffff
575,89662209373ffff
576,8966220956bffff
577,896622092b7ffff
578,89662209057ffff
579,89662209623ffff
580,89662209203ffff
581,8966220904bffff
582,89662209007ffff
583,8966220942fffff
584,89662209563ffff
585,89662209427ffff
586,896622090c7ffff
587,8966220908fffff
588,8966220933bffff
589,89662209317ffff
590,89662209627ffff
591,89662209257ffff
592,8966220909bffff
593,89662209377ffff
594,89662209053ffff
595,89662209013ffff
596,8966220962fffff
597,896622090abffff
598,89662209067ffff
599,8966220942bffff
600,8966220920bffff
601,896622093a3ffff
602,89662209383ffff
603,8966220938fffff
604,89662209387ffff
605,8966220902bffff
606,89662209213ffff
607,8966220929bffff
608,896622091dbffff
609,896622092bbffff
610,8966220930fffff
611,89662209083ffff
612,896622093afffff
613,89662209637ffff
614,8966220946fffff
615,8966220845bffff
616,8966220a273ffff
617,8966220861bffff
618,896622086a3ffff
619,8966220848fffff
620,8966220a26bffff
621,896622086afffff
622,89662208693ffff
623,8966220b16fffff
624,89662208497ffff
625,8966220b177ffff
626,896622084cbffff
627,8966220b1afffff
628,8966220b133ffff
629,896622084cfffff
630,89662208457ffff
631,8966220a277ffff
632,8966220a263ffff
633,8966220b127ffff
634,896622084dbffff
635,8966220846bffff
636,896622086d3ffff
637,8966220b167ffff
638,8966220b1abffff
639,89662208447ffff
640,8966220a22bffff
641,89662208657ffff
642,896622086c3ffff
643,8966220860bffff
644,89662208617ffff
645,8966220848bffff
646,8966220a22fffff
647,8966220868bffff
648,8966220a35bffff
649,89662208493ffff
650,896622084c3ffff
651,89662208603ffff
652,89662208687ffff
653,89662208487ffff
654,896622086cfffff
655,896622084afffff
656,8966220847bffff
657,896622086d7ffff
658,89662208683ffff
659,8966220868fffff
660,896622086c7ffff
661,8966220a27bffff
662,896622086bbffff
663,8966220b1a3ffff
664,896622084d3ffff
665,8966220a20fffff
666,8966220b1b7ffff
667,8966220869bffff
668,896622086abffff
669,8966220a267ffff
670,8966220b13bffff
671,89662208697ffff
672,89662208653ffff
673,89662208433ffff
674,896622084d7ffff
675,8966220a20bffff
676,8966220849bffff
677,8966220a34fffff
678,8966220844bffff
679,89662208613ffff
680,89662208417ffff
681,896622080d3ffff
682,896622086b3ffff
683,89662208413ffff
684,896622084b7ffff
685,8966220b1a7ffff
686,896622084bbffff
687,8966220844fffff
688,8966220b12bffff
689,89662208483ffff
690,8966220b123ffff
691,896622086a7ffff
692,8966220b163ffff
693,896622086b7ffff
694,896622084b3ffff
695,8966220a23bffff
696,89662208443ffff
697,89662208453ffff
698,896622084a3ffff
699,896622084c7ffff
700,8966220b12fffff
701,8966220a34bffff
702,8966220b137ffff
703,896622084abffff
704,8966220a26fffff
705,8966220b373ffff
