id,lat,lng,segment,app_type,acum_total
12081,4.6697610,-74.0757739,on boarding,B2B,
12652,4.6622281,-74.0614453,on boarding,B2B,
14833,4.6666610,-74.0843709,on boarding,B2C,
15233,4.6126914,-74.1691598,on boarding,B2B,
15251,4.7194186,-74.1316675,on boarding,B2C,
15856,4.6651990,-74.0574642,on boarding,B2B,
15563,4.7041230,-74.1091627,churn,B2B,1583692.26866666
1180,0.0000000,0.0000000,on boarding,B2B,
13167,4.6836424,-74.0471558,churn,B2B,12791062.4627272
736,-2.8918409,-69.7419233,churn,B2B,16538410.138863599
13496,4.6291492,-74.0675230,churn,B2B,6694807.61157898
15638,4.5636518,-74.1424192,on boarding,B2B,
19122,4.6853901,-74.0875117,on boarding,B2C,
19730,4.6271892,-74.1905984,on boarding,B2B,
17222,4.6406231,-74.1358593,on boarding,B2B,
11639,4.6367273,-74.1953106,churn,B2B,1264077.5
1642,5.0265027,-74.0069381,churn,B2B,4142154.0
10333,4.6632044,-74.0753419,safe,B2B,17115988.03
16428,4.5941582,-74.0730006,churn,B2B,3299509.43
14625,4.6792504,-74.0664906,on boarding,B2C,
18248,4.5742382,-74.1005618,churn,B2B,41097.840000000004
890,0.0000000,0.0000000,on boarding,B2B,
396,0.0000000,0.0000000,on boarding,B2C,
16215,4.6686120,-74.0689354,on boarding,B2B,
1230,0.0000000,0.0000000,on boarding,B2B,
14192,4.7038069,-74.1213733,on boarding,B2C,
1115,4.7109886,-74.0720920,on boarding,B2C,
21382,4.7259179,-74.0889450,safe,B2B,984534.60272727
15577,4.6252790,-74.1340464,on boarding,B2B,
17699,4.6215197,-74.1550963,churn,B2B,102796.96
1863,5.0260030,-74.0300122,on boarding,B2B,
12516,4.6069001,-74.0903071,churn,B2B,130001.55
22020,4.6016865,-74.1109544,safe,B2B,6657761.2165993
15585,4.5976478,-74.1950026,on boarding,B2B,
13508,4.6112312,-74.1376759,on boarding,B2B,
16151,4.5929029,-74.0857795,on boarding,B2B,
1061,0.0000000,0.0000000,on boarding,B2B,
798,4.5924528,-74.1721716,churn,B2B,7212689.7500000205
13411,4.6355873,-74.1698879,churn,B2B,14825221.862637699
17652,4.6032081,-74.1530466,on boarding,B2B,
1493,4.6035116,-74.0761810,on boarding,B2B,
10632,4.7498225,-74.0539148,uci,B2B,726173.46071962
11423,4.7737684,-74.0412587,uci,B2B,18101076.7657099
5039,4.8076085,-74.2123704,on boarding,B2B,
5675,4.7144655,-74.2073374,on boarding,B2B,
5703,4.8067626,-74.1002193,churn,B2B,4245970.5600000005
5712,4.7079610,-74.2112602,on boarding,B2B,
5894,4.7176632,-74.2117807,on boarding,B2B,
19807,4.7132870,-74.1414909,on boarding,B2B,
11877,4.5844379,-74.2092030,uci,B2B,10339764.1352714
18245,4.5394985,-74.1387749,on boarding,B2B,
19055,4.5424490,-74.1120492,on boarding,B2B,
18643,4.6268891,-74.0726697,churn,B2B,8551761.26
126,0.0000000,0.0000000,on boarding,B2C,
1033,0.0000000,0.0000000,on boarding,B2C,
1637,4.6941886,-74.1069416,churn,B2B,523800.0
1097,4.7109886,-74.0720920,on boarding,B2B,
17569,4.5798430,-74.1257376,on boarding,B2B,
19890,4.5980646,-74.1271447,on boarding,B2B,
13846,4.7462754,-74.0988857,on boarding,B2B,
5462,4.6094034,-74.1465326,on boarding,B2B,
2574,4.5055620,-74.1018206,on boarding,B2B,
3265,5.0307513,-74.0012317,on boarding,B2B,
2323,4.5854040,-74.2070600,churn,B2B,6090377.16
2437,4.5032609,-74.1018003,churn,B2B,8068440.2
710,-2.8918409,-69.7419233,on boarding,B2B,
695,4.5825800,-74.2119893,on boarding,B2B,
15717,4.5113199,-74.1124632,churn,B2B,478594.2
2762,4.4889111,-74.1171718,churn,B2B,26011488.490000002
2259,4.5636917,-74.0894509,churn,B2B,15536859.3589677
2229,4.6164099,-74.1985092,churn,B2B,11128960.57
2429,4.5919214,-74.2017074,churn,B2B,11050030.600000001
15937,0.0000000,0.0000000,on boarding,B2B,
16534,4.5762822,-74.1501567,churn,B2B,1927538.1
944,4.6002152,-74.0995282,churn,B2B,6783543.942
537,4.7109886,-74.0720920,on boarding,B2B,
639,4.7109886,-74.0720920,on boarding,B2B,
18179,4.6325648,-74.0925854,on boarding,B2B,
590,4.5759810,-74.2462093,churn,B2B,32973111.470000003
1550,4.5826060,-74.2153600,churn,B2B,3415830.18
18107,4.7246745,-74.1257140,on boarding,B2B,
16367,4.5704657,-74.1521224,on boarding,B2B,
15930,4.5543118,-74.1389253,on boarding,B2B,
325,4.6259680,-74.1951076,uci,B2B,68603340.2325602
804,4.7109886,-74.0720920,on boarding,B2B,
4378,4.5827227,-74.2117465,on boarding,B2B,
6196,4.6123415,-74.0850577,on boarding,B2B,
2524,4.6678522,-74.0634356,on boarding,B2B,
3019,4.6803567,-74.1001764,on boarding,B2B,
3060,4.7518776,-74.1165270,on boarding,B2B,
3200,4.7168389,-74.0648466,on boarding,B2B,
15641,4.5759347,-74.1634950,safe,B2B,94000.0
12360,4.6455770,-74.0713020,safe,B2B,3057663.84
16832,4.7142764,-74.1350234,safe,B2B,217875.777777779
859,4.6891180,-74.0348227,safe,B2B,78103155.01294559
20351,4.6273216,-74.1862140,uci,B2B,1649721.8775000002
21624,4.6198632,-74.1998032,safe,B2B,9701337.94
4288,4.6257890,-74.1836847,on boarding,B2B,
641,4.5700772,-74.2419592,safe,B2B,122562932.472419
2419,4.6831868,-74.0570878,churn,B2B,1905123.36
1540,4.6979875,-74.0751483,churn,B2B,229832953.035725
16167,4.7415603,-74.0433351,churn,B2B,778850.24
4693,4.7109886,-74.0720920,on boarding,B2B,
12497,4.7638079,-74.0299082,safe,B2B,2513739.21652172
17631,4.7506320,-74.1005646,on boarding,B2B,
453,4.7109886,-74.0720920,on boarding,B2B,
