id,source_country,source_client,lat,lng
24565,COLOMBIA,Client,10.9630939,-74.826833
561,COLOMBIA,Client,4.6382827,-74.1661026
3578,COLOMBIA,Client,4.6551154,-74.0506158
5400,COLOMBIA,Client,4.7143806,-74.1350154
33861,COLOMBIA,Client,4.6708665,-74.0661958
32462,COLOMBIA,Client,4.6955271,-74.0801279
20167,COLOMBIA,Client,10.921122,-74.7852015
23479,COLOMBIA,Client,4.725347,-74.0887783
2647,COLOMBIA,Client,3.4377206,-76.4689825
26743,COLOMBIA,Client,3.5335738,-76.3084302
18963,COLOMBIA,Client,4.6001503,-74.1447354
17042,COLOMBIA,Client,6.3200396,-75.5598765
1046,COLOMBIA,Client,4.5258673,-74.1131868
38473,COLOMBIA,Client,4.6576339,-74.0678893
35059,COLOMBIA,Client,4.6703048,-74.0521445
25260,COLOMBIA,Client,6.2604414,-75.6219575
21701,COLOMBIA,Client,10.9136041,-74.8146643
13492,COLOMBIA,Client,4.6425798,-74.0573426
5240,COLOMBIA,Client,7.119349,-73.1227416
21270,COLOMBIA,Client,10.9842619,-74.7998942
11384,COLOMBIA,Client,4.6556173,-74.0657173
20375,COLOMBIA,Client,4.6130083,-74.0848674
18621,COLOMBIA,Client,4.6719352,-74.1085538
34898,COLOMBIA,Client,10.977473,-74.7947938
34328,COLOMBIA,Client,4.6230048,-74.072496
1720,COLOMBIA,Client,4.686201,-74.110977
37169,COLOMBIA,Client,4.3397865,-74.3668349
36833,COLOMBIA,Client,4.7372713,-74.0271641
9230,COLOMBIA,Client,4.6845474,-74.1435909
440,COLOMBIA,Client,4.7109886,-74.072092
15684,COLOMBIA,Client,4.5168659,-74.1170788
30082,COLOMBIA,Client,4.5935184,-74.1925652
30325,COLOMBIA,Client,4.6947783,-74.1158046
16638,COLOMBIA,Client,6.1940245,-75.5916116
25212,COLOMBIA,Client,4.6962491,-74.1786976
2157,COLOMBIA,Client,4.4935654,-74.1157236
17988,COLOMBIA,Client,4.5474409,-74.1109194
15389,COLOMBIA,Client,3.4116256,-76.5599973
19720,COLOMBIA,Client,4.5402329,-74.1171586
1060,COLOMBIA,Client,4.6063573,-74.1933227
22352,COLOMBIA,Client,4.6720438,-74.0162869
5674,COLOMBIA,Client,4.6415808,-74.1630391
2581,COLOMBIA,Client,4.6826776,-74.0840923
6291,COLOMBIA,Client,7.0833329,-73.101127
32565,COLOMBIA,Client,4.6673025,-74.0134841
37159,COLOMBIA,Client,10.9199555,-74.8187332
12100,COLOMBIA,Client,4.603051,-74.0811177
13301,COLOMBIA,Client,4.6297584,-74.1839601
36999,COLOMBIA,Client,4.5917718,-74.0844338
33292,COLOMBIA,Client,6.307075,-75.567331
31230,COLOMBIA,Client,3.3357346,-76.5246086
22645,COLOMBIA,Client,4.6531081,-74.0637484
16494,COLOMBIA,Client,6.266958,-75.5971756
3967,COLOMBIA,Client,7.1281714,-73.1232354
5423,COLOMBIA,Client,4.712569,-74.05413
9094,COLOMBIA,Client,4.6562723,-74.0644911
34581,COLOMBIA,Client,4.6706751,-74.0162869
1529,COLOMBIA,Client,4.617557,-74.2046467
29667,COLOMBIA,Client,3.5341143,-76.2905922
5917,COLOMBIA,Client,4.700092,-74.109527
17267,COLOMBIA,Client,6.1587148,-75.585735
23875,COLOMBIA,Client,4.7435446,-74.0627083
28360,COLOMBIA,Client,6.3024384,-75.5487414
11506,COLOMBIA,Client,4.7433115,-74.1163347
7254,COLOMBIA,Client,7.0829712,-73.1010179
19948,COLOMBIA,Client,4.6042009,-74.1932895
32234,COLOMBIA,Client,4.6858324,-74.0614936
36862,COLOMBIA,Client,4.3265977,-74.3969199
21501,COLOMBIA,Client,10.9218215,-74.8033358
21289,COLOMBIA,Client,4.5002643,-74.1075664
16220,COLOMBIA,Client,4.59639,-74.1416069
38631,COLOMBIA,Client,4.7204158,-74.0399816
27117,COLOMBIA,Client,3.5724431,-76.6485471
34084,COLOMBIA,Client,4.6953246,-74.0675534
2205,COLOMBIA,Client,4.5813717,-74.0879737
2803,COLOMBIA,Client,7.0532335,-73.1662148
35161,COLOMBIA,Client,4.7507585,-74.0596931
11171,COLOMBIA,Client,4.7266405,-74.0510896
12081,COLOMBIA,Client,4.6697233,-74.0757195
