RAZAO SOCIAL,CNPJ,ENDEREÇO,lat,lng,CIDADE
REAL TOOLS COMERCIAL LTDA,22488000158,"RUA FLORENCIO DE ABREU  279 , SAO PAULO",-23.541645,-46.6330004,SAO PAULO
CONSTRUDOMUS COM DE MAT DE HIDRAULICA E CONSTRUCAO LTDA,24568000142,"RUA PEDROSO DE MORAIS  1067 , SAO PAULO",-23.5614542,-46.693357,SAO PAULO
MADEIRAS E MATERIAIS PARA CONSTRUCAO TESTA DE PAU LTDA,24858000196,"RODOVIA INDIO TIBIRICA  2753 , RIBEIRAO PIRES",-23.6760119,-46.3510122,RIBEIRAO PIRES
HUSQY COM DE MAQUINAS AGRICOLAS LTDA,26378000164,"RUA HAYDEN  105 , SAO PAULO",-23.5296609,-46.7334683,SAO PAULO
MARIA MARLENE BRITES,26984000180,"AVENIDA CONCEICAO  3920 , SAO PAULO",-23.4951355,-46.579766,SAO PAULO
ANDREACO COMERCIO DE ACO FERRO E METAIS LTDA,27348000172,"RUA CABO OSCAR ROSSINI  922 , SAO PAULO",-23.5166229,-46.5702054,SAO PAULO
NIKEI COMERCIO DE FERRAGENS LTDA,27468000170,"AVENIDA EDU CHAVES  645 , SAO PAULO",-23.4732192,-46.5710109,SAO PAULO
"NEUMACON IMPORTACAO, COMERCIO E MANUTENCAO DE FERRAMENTAS LTDA",28367000113,"ALAMEDA CONDE DE P ALEGRE  1333 , SAO CAETANO DO SUL",-23.6376986,-46.5569924,SAO CAETANO DO SUL
THAGUETA COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,29072000161,"RUA FRANCISCO OLANDIM  225 , SAO PAULO",-23.619406,-46.5858015,SAO PAULO
SPARFUSO COM DE PARAFUSOS E FERRAGENS LIMITADA,101636000120,"AVENIDA BOM PASTOR  327 , SANTO ANDRE",-23.6720526,-46.5527717,SANTO ANDRE
A M SILVA MATERIAIS PARA CONSTRUCAO LTDA,117362000167,"RUA SENADOR EDSON CAVALCANTI  19 , SAO BERNARDO DO CAMPO",-23.7296719,-46.5695599,SAO BERNARDO DO CAMPO
"FORMAFIX  RECICLADORA, COMERCIO E LOCACAO DE EQUIPAMENTOS EIRELI",119445000195,"RUA PROFESSOR APRIGIO GONZAGA  525 , SAO PAULO",-23.6244501,-46.6352821,SAO PAULO
UNIACO DISTRIBUIDORA DE FERRAGENS E FERRAMENTAS LTDA,127993000167,"RUA CLAUDIA  110A , SAO PAULO",-23.5211453,-46.526222,SAO PAULO
EXTRAMAD COMERCIO DE MADEIRAS LTDA,130980000147,"RUA GETULIO VARGAS  85 , RIO GRANDE DA SERRA",-23.7449393,-46.4016411,RIO GRANDE DA SERRA
JAFIP SISTEMA DE REVESTIMENTO ANTICORROSAO LTDA,139672000182,"ESTRADA DE SAPOPEMBA  2202 , RIBEIRAO PIRES",-23.650509,-46.377959,RIBEIRAO PIRES
COMERCIAL GONCALVES MADEIRAS E MATERIAIS DE CONSTRUCAO EIRELI,140074000123,"RUA CAIUBI  134 , SANTO ANDRE",-23.6825263,-46.5411392,SANTO ANDRE
JOAQUIM FERRARIAS NETO,141884000102,"RUA ALFREDO DO VALE CABRAL  26 B , SAO PAULO",-23.5458326,-46.5534794,SAO PAULO
SOLPEDRAS SERVICOS E COMERCIO DE PEDRAS LTDA,142523000172,"AVENIDA NOVO OSASCO  SN , OSASCO",-23.5657585,-46.7879289,OSASCO
A CORDEIRO FERRAMENTAS COMERCIO E IMPORTACAO LTDA,150608000100,"RUA FLORENCIO DE ABREU  636 , SAO PAULO",-23.5384301,-46.632873,SAO PAULO
N TINTAS COMERCIO DE TINTAS LTDA,152006000184,"RUA CLAUDINO ALVES  104 , SAO PAULO",-23.5001741,-46.6172041,SAO PAULO
ARCO & TETO ARQUITETURA E CONSTRUCAO LTDA,153048000130,"AVENIDA HENRIQUETA MENDES GUERRA  22 , BARUERI",-23.5109655,-46.8752806,BARUERI
HM PARAFUSOS E ACESSORIOS INDUSTRIAIS LTDA,156268000117,"AVENIDA FRANCISCO FERREIRA LOPES  2493 , MOGI DAS CRUZES",-23.5369455,-46.2225674,MOGI DAS CRUZES
HM PARAFUSOS E ACESSORIOS INDUSTRIAIS LTDA,156268000206,"AVENIDA FRANCISCO RODRIGUES FILHO  484 , MOGI DAS CRUZES",-23.5178727,-46.1921416,MOGI DAS CRUZES
J SAMPAIO SUBRINHO,157981000185,"RUA DAS FLORES  372 , ITAQUAQUECETUBA",-23.4763633,-46.3218257,ITAQUAQUECETUBA
COMERCIO DE MATER P CONSTRUCAO PQ SAO PAULO LTDA,159643000182,"RUA RUA PELAGIA STARBULOV  39 , SAO PAULO",-23.7464755,-46.6892764,SAO PAULO
MLC ALENCAR,162315000135,"AVENIDA ANTONIO CARLOS BENJAMIM DOS SANTOS  3300 , SAO PAULO",-23.7572501,-46.6949267,SAO PAULO
ELETRICA IPOJUCA LTDA,164276000105,"RUA TONELERO  1034 , SAO PAULO",-23.5366954,-46.7059043,SAO PAULO
UNIBEL MADEIRAS E FERRAGENS LTDA,164869000171,"AVENIDA DAS BELEZAS  585 , SAO PAULO",-23.6414606,-46.7444856,SAO PAULO
J&J ARTESANATO DE METAIS LTDA,164940000116,"AVENIDA ANCHIETA  805 , MOGI DAS CRUZES",-23.5379305,-46.2291712,MOGI DAS CRUZES
JOAO ALONSO BURANELLO,169150000123,"RUA ARLINDO MARCHETTI  290 , SAO CAETANO DO SUL",-23.6395414,-46.5546911,SAO CAETANO DO SUL
MIRAI COMERCIO DE FERRAGENS E MAT PCONSTRUCAO LTDA,170255000100,"RUA FENICIA  508 , SANTO ANDRE",-23.63087,-46.4985529,SANTO ANDRE
RUBENS APARECIDO ANTONIO,174783000120,"AVENIDA NOVE DE JULHO  2130 , JUNDIAI",-23.1946479,-46.8895753,JUNDIAI
ARGAJU COMERCIO DE AREIA E PEDRA LTDA,176627000106,"RUA PIXINGUINHA  320 , SAO PAULO",-23.5890745,-46.7711465,SAO PAULO
AUTO LAR COMERCIAL LTDA,178936000107,"AVENIDA SAO PAULO  335 , SANTO ANDRE",-23.6674285,-46.4891745,SANTO ANDRE
EIFFEL COM VAREJISTA DE MATS PCONSTRUCAO LTDA,186414000157,"RUA AMADEU MASSAROTO  343 , SAO PAULO",-23.6096513,-46.4898139,SAO PAULO
TINTAS CLAUDIA LTDA,190482000190,"AVENIDA JARDIM JAPAO  385 , SAO PAULO",-23.4869373,-46.5778373,SAO PAULO
LUIS JAEN SOATI 08507065805,196025000102,"RUA WOLSTEIN  78 , SAO PAULO",-23.5196229,-46.5148142,SAO PAULO
COMERCIO DE PISOS E ESQUADRIAS FORTALEZA LTDA,199526000142,"ESTRADA DE ITAPECERICA  4606 , SAO PAULO",-23.6598792,-46.7724316,SAO PAULO
SETTEUS COMERCIO DE METAIS LTDA,200078000150,"LARGO SAO JOSE DO MARANHAO  206 , SAO PAULO",-23.5292979,-46.5587224,SAO PAULO
FL INSTALACOES DE ESTRUTURAS METALICAS LTDA,205911000155,"RUA SEBASTIAO RAZALI  1 , SAO PAULO",-23.5675617,-46.5176346,SAO PAULO
RINALDO HISSASHI ANDO ELETRICA,208585000130,"RUA TIBURCIO DE SOUZA  505 , SAO PAULO",-23.5014604,-46.3977018,SAO PAULO
AGARI  COMERCIO DE TINTAS E FERRAGENS LTDA,211092000159,"PRACA AURELIO LOMBARDI  8 , SAO PAULO",-23.5522042,-46.5282005,SAO PAULO
DIMOPLAN DIVISOES E FORROS LTDA,215588000109,"RUA GONCALO DE SA  1828 , SAO PAULO",-23.4941962,-46.6608398,SAO PAULO
TETRACAMPEAO MATERIAIS PARA CONSTRUCAO LTDA,218987000115,"RUA REGO FREITAS  286 , SAO PAULO",-23.5443914,-46.6466747,SAO PAULO
JORGE PEDROSA MARTINS MATERIAIS PARA CONTRUCAO,219007000107,"ESTRADA DOS ALVARENGAS  5975 , SAO BERNARDO DO CAMPO",-23.7416661,-46.6000452,SAO BERNARDO DO CAMPO
MULTPEDRAS  PEDRAS DECORATIVAS EIRELI,219072000124,"AVENIDA JUNDIAI  1355 , JUNDIAI",-23.1913689,-46.9022122,JUNDIAI
M DE F F OLIVEIRA,220221000175,"RUA POLONIA  122 , DIADEMA",-23.6691361,-46.6092934,DIADEMA
LIGA COMERCIO DE MATERIAL ELETRICO HIDRAULICO LTDA,230538000192,"AVENIDA MOINHO FABRINI  376 , SAO BERNARDO DO CAMPO",-23.696135,-46.5818768,SAO BERNARDO DO CAMPO
ALCIDES OLIVEIRA CARMO LTDA,230696000142,"AVENIDA AMADOR BUENO DA VEIGA  557 , SAO PAULO",-23.5220384,-46.5393098,SAO PAULO
OSVALDO JOAQUIM MATERIAL PARA CONSTRUCAO,231192000147,"RUA CRUZES DE PEDRA  499 , SAO PAULO",-23.6310665,-46.4409012,SAO PAULO
PINHO BARRACAS LTDA,232310000131,"RUA CASEMIRO MISSKINIZ  250 , SAO PAULO",-23.5555631,-46.4752531,SAO PAULO
FANAN MATERIAIS PARA CONSTRUCAO LTDA,232406000108,"AVENIDA DO RIO BONITO  1260 , SAO PAULO",-23.6837394,-46.7035414,SAO PAULO
TINTAS KINA SAN LTDA,234731000100,"AVENIDA MATEO BEI  287 , SAO PAULO",-23.5859024,-46.4912019,SAO PAULO
MADE 1000 MATERIAIS PARA CONSTRUCAO LTDA,239901000130,"RUA GENERAL FLORES  490 , SAO PAULO",-23.5221156,-46.6429541,SAO PAULO
P S DE ALMEIDA COMPLEMENTOS PARA PINTURA,240884000151,"RUA ZINIAS  22 , MAUA",-23.6969353,-46.4589325,MAUA
HEYDIM COMERCIO DE FERRAGENS LTDA,242154000190,"ESTRADA DO PEDROSO  1523 , SANTO ANDRE",-23.7112739,-46.5003009,SANTO ANDRE
"JORMAR COMERCIO DE FERRAGENS, HIDRAULICA, ELETRICA E TINTAS LTDA",242159000112,"AVENIDA SAO PAULO  273 , SANTO ANDRE",-23.6671196,-46.4895607,SANTO ANDRE
PACO COMERCIO DE TINTAS LTDA,246600000134,"RUA VERISSIMO DA SILVA  153 , SAO PAULO",-23.5730332,-46.4802347,SAO PAULO
MARMORARIA JARDIM GUAPIRA GRANITOS E PEDRAS G LTDA,247898000105,"RUA MARIA AMALIA LOPES DE AZEVEDO  3790 , SAO PAULO",-23.4567157,-46.5902945,SAO PAULO
ESPRINAFER COMERCIO DE FERRO E ACESSORIOS LTDA M E,248853000147,"RUA ACACCIO FONTOURA  744 , SAO PAULO",-23.7349282,-46.7116198,SAO PAULO
CENTURIA FERRAGENS E PARAFUSOS EIRELI,249162000168,"RUA SAO FRANCISCO DO HUMAITA  398 , SAO PAULO",-23.46351,-46.6748193,SAO PAULO
HERCULES MATERIAIS PARA CONSTRUCAO LTDA,250987000100,"AVENIDA ANTONELLO DA MESSINA  495 , SAO PAULO",-23.4522645,-46.5888809,SAO PAULO
SILVA FERRAGENS FERRAMENTAS E LAMINADOS LTDA,252998000111,"RUA DEOCLECIANO OLIVEIRA FILHO  583 , SAO PAULO",-23.6690438,-46.75594,SAO PAULO
BONI MATERIAIS DE CONSTRUCOES LTDA,253662000173,"AVENIDA SAO JOAO BATISTA  341 , SAO BERNARDO DO CAMPO",-23.6510611,-46.5711496,SAO BERNARDO DO CAMPO
COMERCIO DE VIDROS E CRISTAIS REGINA LTDA,254007000130,"AVENIDA SEN ROBERTO SIMONSEN  1289 , SAO CAETANO DO SUL",-23.6245416,-46.5749049,SAO CAETANO DO SUL
DIPLAC COMERCIO E INDUSTRIA DE GESSO LTDA,256322000104,"AVENIDA DR SILVIO MARGARIDO  87 , SAO PAULO",-23.5865524,-46.7682692,SAO PAULO
MATERIAIS DE CONSTRUCAO VILA NOVA YORK LTDA,259684000140,"PRACA EULALIO DE CARVALHO  70 , SAO PAULO",-23.5804688,-46.5097378,SAO PAULO
DIGITAL COMERCIO E REPRESENTACOES LTDA,261752000106,"RUA JOSE DE ALMEIDA  333 , SAO PAULO",-23.4914561,-46.5956095,SAO PAULO
EMPRESA DE MINERACAO FIORI DO TABOAO LTDA,265541000141,"ESTRADA MUNICIPAL S B LAMBARI  SN , MOGI DAS CRUZES",-23.3812136,-46.1777644,MOGI DAS CRUZES
ZARO REVESTIMENTOS LTDA,275117000188,"RUA DR MIRANDA AZEVEDO  1064 , SAO PAULO",-23.5331346,-46.6926591,SAO PAULO
A B S COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA,278536000173,"RUA POTI  62 , DIADEMA",-23.6630837,-46.6143946,DIADEMA
MULTIOBRAS COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,279878000108,"AVENIDA ABILIO PEDRO RAMOS  665 , SAO PAULO",-23.4604171,-46.5746486,SAO PAULO
HIDRO PIPE TUBOS E CONEXOES EIRELI,280960000152,"RUA GOMES FREIRE  533 , SAO PAULO",-23.5241013,-46.7080725,SAO PAULO
CENTER TINTAS ARCO IRIS LTDA,281518000140,"RUA VISCONDE DE JAGUARI  110 , SAO PAULO",-23.4907877,-46.6857393,SAO PAULO
FEMABRA ABRASIVOS E FERRAMENTAS LTDA,282788000176,"RUA MANUEL HERNANDES LOPES (VL DAISY)  413 , SAO BERNARDO DO CAMPO",-23.6826978,-46.5640867,SAO BERNARDO DO CAMPO
RAYTECK ELEVADORES ASSISTENCIA TECNICA E COMERCIO DE PECASLTDA,282878000167,"RUA CONEGO VICENTE M MARINO  142 , SAO PAULO",-23.5268859,-46.6496823,SAO PAULO
ROSA MARIA SILVA BOGAR,292710000132,"AVENIDA JOAO  DIAS  1859 , SAO PAULO",-23.6449997,-46.7183355,SAO PAULO
TUCANO DOVALLE COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA,298627000170,"AVENIDA PAULO GUILGUER REIMBERG  1302 , SAO PAULO",-23.7733588,-46.7078179,SAO PAULO
COMERCIO DE FERRAGENS MIGUEL GARCIA LTDA,302549000130,"AVENIDA CANGAIBA  2805 , SAO PAULO",-23.5058482,-46.5286962,SAO PAULO
CENTER PENHA COMERCIO DE MATERIAIS PARA CONSTRUCAO EIRELI,303224000172,"RUA FAUSTINO PAGANINI  2180 , SAO PAULO",-23.5095413,-46.5310524,SAO PAULO
JDS MARCENARIA VILA ESPERANCA EIRELI,307915000144,"RUA MARIA CARLOTA  472 , SAO PAULO",-23.525785,-46.5284465,SAO PAULO
TINTAS YOSHI LTDA,317573000143,"AVENIDA DEZENOVE DE JANEIRO  69 , SAO PAULO",-23.5535356,-46.5275847,SAO PAULO
COMERCIAL E LOCADORA DE VEICULOS CENTRAL SUL LTDA,318377000193,"RUA OTAVIO TARQUINIO DE SOUZA  457 , SAO PAULO",-23.6200131,-46.6658659,SAO PAULO
VEROFER COMERCIAL DE FERRO E ACO LTDA,318794000136,"AVENIDA MARGINAL DOIS  1404 , ITAQUAQUECETUBA",-23.4932619,-46.3612709,ITAQUAQUECETUBA
RT CHAVES COMERCIAL LTDA,327729000177,"AVENIDA SAO JOSE  1080 , OSASCO",-23.5149212,-46.764581,OSASCO
PENHENSE COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA,333342000123,"RUA ANTONIO LOBO  139 , SAO PAULO",-23.5245543,-46.5456335,SAO PAULO
SPECIAN GOMES MATERIAIS PARA CONSTRUCAO LTDA,333817000181,"AVENIDA ACLIMACAO  825 , SANTO ANDRE",-23.7023798,-46.5188004,SANTO ANDRE
NOVO RUMO ELETRICA HIDRAULICA LTDA,340007000152,"AVENIDA ENG SOARES DE CAMARGO  391 , SAO PAULO",-23.5403849,-46.5010528,SAO PAULO
KM 12 DEPOSITO DE MATERIAIS PARA CONSTRUCAO LTDA,342384000120,"RUA USHIKICHI KAMIYA  273 , SAO PAULO",-23.4430118,-46.5921488,SAO PAULO
VALE DO ITAPETI COMERCIO E CONSTRUCAO LTDA,342788000114,"RUA SERAFIM POLI  232 , SAO PAULO",-23.5198899,-46.5779172,SAO PAULO
ELISABETE RIBEIRO MARINHO OSASCO,345110000195,"AVENIDA DOS AUTONOMISTAS  5215 , OSASCO",-23.5269,-46.7971773,OSASCO
FOGOES JUNDIAI LTDA,350650000167,"RUA VINTE E TRES DE MAIO  449 , JUNDIAI",-23.198618,-46.8841199,JUNDIAI
OYASSUI MATERIAIS PARA CONSTRUCOES LTDA,358901000150,"RUA JOSE RAMOS TEIXEIRA (VL TEIXEIRA)  252 , DIADEMA",-23.696433,-46.6264216,DIADEMA
REIMUR COMERCIO DE TINTAS LTDA,362425000140,"RUA PAIS LEME  215 , SAO PAULO",-23.5686377,-46.6987543,SAO PAULO
J MANDO COMERCIO DE FERRO E ACO LTDA,363114000104,"RUA CARIRIS  117 , DIADEMA",-23.6904376,-46.5847892,DIADEMA
SAVANA COMERCIO DE TINTAS LTDA,369636000105,"AVENIDA PEDRO SEVERINO  222 , SAO PAULO",-23.6317122,-46.643271,SAO PAULO
CERAMICA E OLARIA ABCD INDUSTRIA DE BLOCOS CERAMICOS LTDA,370590000144,"RUA MOCAMBO  290 , SANTO ANDRE",-23.6252736,-46.5160097,SANTO ANDRE
CERAMICA E OLARIA ABCD INDUSTRIA DE BLOCOS CERAMICOS LTDA,370590000144,"RUA MOCAMBO  290 , SANTO ANDRE",-23.6252736,-46.5160097,SANTO ANDRE
CERAMICA E OLARIA ABCD INDUSTRIA DE BLOCOS CERAMICOS LTDA,370590000144,"RUA MOCAMBO  290 , SANTO ANDRE",-23.6252736,-46.5160097,SANTO ANDRE
CERAMICA E OLARIA ABCD INDUSTRIA DE BLOCOS CERAMICOS LTDA,370590000144,"RUA MOCAMBO  290 , SANTO ANDRE",-23.6252736,-46.5160097,SANTO ANDRE
