,source_country,macrozone,microzone,r8_h3
103,COLOMBIA,Cartagena,Cartagena,886631288dfffff
104,COLOMBIA,Cartagena,Cartagena,88663166d7fffff
105,COLOMBIA,Cartagena,Cartagena,8866312903fffff
106,COLOMBIA,Cartagena,Cartagena,8866069239fffff
107,COLOMBIA,Cartagena,Cartagena,8866069207fffff
108,COLOMBIA,Cartagena,Cartagena,8866312807fffff
109,COLOMBIA,Cartagena,Cartagena,8866312885fffff
110,COLOMBIA,Cartagena,Cartagena,88663128e3fffff
111,COLOMBIA,Cartagena,Cartagena,8866069021fffff
112,COLOMBIA,Cartagena,Cartagena,8866069051fffff
113,COLOMBIA,Cartagena,Cartagena,88663166d9fffff
114,COLOMBIA,Cartagena,Cartagena,886606904bfffff
115,COLOMBIA,Cartagena,Cartagena,8866316597fffff
116,COLOMBIA,Cartagena,Cartagena,8866069049fffff
117,COLOMBIA,Cartagena,Cartagena,8866312817fffff
118,COLOMBIA,Cartagena,Cartagena,8866069003fffff
119,COLOMBIA,Cartagena,Cartagena,8866069201fffff
120,COLOMBIA,Cartagena,Cartagena,886606924bfffff
121,COLOMBIA,Cartagena,Cartagena,8866312aa5fffff
122,COLOMBIA,Cartagena,Cartagena,8866069035fffff
123,COLOMBIA,Cartagena,Cartagena,8866312933fffff
124,COLOMBIA,Cartagena,Cartagena,88663128e7fffff
125,COLOMBIA,Cartagena,Cartagena,8866312855fffff
126,COLOMBIA,Cartagena,Cartagena,886631285bfffff
127,COLOMBIA,Cartagena,Cartagena,8866312857fffff
128,COLOMBIA,Cartagena,Cartagena,88663164a3fffff
129,COLOMBIA,Cartagena,Cartagena,8866312815fffff
130,COLOMBIA,Cartagena,Cartagena,88663128abfffff
131,COLOMBIA,Cartagena,Cartagena,8866069257fffff
132,COLOMBIA,Cartagena,Cartagena,88663166d3fffff
133,COLOMBIA,Cartagena,Cartagena,886606920bfffff
134,COLOMBIA,Cartagena,Cartagena,8866312909fffff
135,COLOMBIA,Cartagena,Cartagena,8866312819fffff
136,COLOMBIA,Cartagena,Cartagena,88660691cbfffff
137,COLOMBIA,Cartagena,Cartagena,88663129cbfffff
138,COLOMBIA,Cartagena,Cartagena,88663129edfffff
139,COLOMBIA,Cartagena,Cartagena,88663128c7fffff
140,COLOMBIA,Cartagena,Cartagena,8866069203fffff
141,COLOMBIA,Cartagena,Cartagena,8866312955fffff
142,COLOMBIA,Cartagena,Cartagena,8866069007fffff
143,COLOMBIA,Cartagena,Cartagena,88663128c5fffff
144,COLOMBIA,Cartagena,Cartagena,88663128e9fffff
145,COLOMBIA,Cartagena,Cartagena,8866312907fffff
146,COLOMBIA,Cartagena,Cartagena,8866069005fffff
147,COLOMBIA,Cartagena,Cartagena,8866069041fffff
148,COLOMBIA,Cartagena,Cartagena,88663166b9fffff
149,COLOMBIA,Cartagena,Cartagena,8866069025fffff
150,COLOMBIA,Cartagena,Cartagena,886606915bfffff
151,COLOMBIA,Cartagena,Cartagena,8866312927fffff
152,COLOMBIA,Cartagena,Cartagena,886631280dfffff
153,COLOMBIA,Cartagena,Cartagena,8866069217fffff
154,COLOMBIA,Cartagena,Cartagena,8866069255fffff
155,COLOMBIA,Cartagena,Cartagena,8866316699fffff
156,COLOMBIA,Cartagena,Cartagena,8866069205fffff
157,COLOMBIA,Cartagena,Cartagena,8866316695fffff
158,COLOMBIA,Cartagena,Cartagena,88663129c5fffff
159,COLOMBIA,Cartagena,Cartagena,8866069219fffff
160,COLOMBIA,Cartagena,Cartagena,886631668bfffff
161,COLOMBIA,Cartagena,Cartagena,8866069237fffff
162,COLOMBIA,Cartagena,Cartagena,8866312821fffff
163,COLOMBIA,Cartagena,Cartagena,8866312911fffff
164,COLOMBIA,Cartagena,Cartagena,88663166b5fffff
165,COLOMBIA,Cartagena,Cartagena,8866312867fffff
166,COLOMBIA,Cartagena,Cartagena,88663129adfffff
167,COLOMBIA,Cartagena,Cartagena,8866312803fffff
168,COLOMBIA,Cartagena,Cartagena,8866069243fffff
169,COLOMBIA,Cartagena,Cartagena,8866312823fffff
170,COLOMBIA,Cartagena,Cartagena,88663129c9fffff
171,COLOMBIA,Cartagena,Cartagena,88663129c1fffff
172,COLOMBIA,Cartagena,Cartagena,8866312919fffff
173,COLOMBIA,Cartagena,Cartagena,8866312825fffff
174,COLOMBIA,Cartagena,Cartagena,88663166d1fffff
175,COLOMBIA,Cartagena,Cartagena,886631284bfffff
176,COLOMBIA,Cartagena,Cartagena,88663129ebfffff
177,COLOMBIA,Cartagena,Cartagena,8866069045fffff
178,COLOMBIA,Cartagena,Cartagena,88663128ebfffff
179,COLOMBIA,Cartagena,Cartagena,886606903dfffff
180,COLOMBIA,Cartagena,Cartagena,886631281dfffff
181,COLOMBIA,Cartagena,Cartagena,886606901dfffff
182,COLOMBIA,Cartagena,Cartagena,8866312811fffff
183,COLOMBIA,Cartagena,Cartagena,886606923dfffff
184,COLOMBIA,Cartagena,Cartagena,88660692edfffff
185,COLOMBIA,Cartagena,Cartagena,886606902dfffff
186,COLOMBIA,Cartagena,Cartagena,8866069235fffff
187,COLOMBIA,Cartagena,Cartagena,886631294bfffff
188,COLOMBIA,Cartagena,Cartagena,8866312937fffff
189,COLOMBIA,Cartagena,Cartagena,8866312843fffff
190,COLOMBIA,Cartagena,Cartagena,8866069039fffff
191,COLOMBIA,Cartagena,Cartagena,8866069a69fffff
192,COLOMBIA,Cartagena,Cartagena,886606902bfffff
193,COLOMBIA,Cartagena,Cartagena,8866312949fffff
194,COLOMBIA,Cartagena,Cartagena,8866069055fffff
195,COLOMBIA,Cartagena,Cartagena,8866312813fffff
196,COLOMBIA,Cartagena,Cartagena,8866312853fffff
197,COLOMBIA,Cartagena,Cartagena,8866312931fffff
198,COLOMBIA,Cartagena,Cartagena,886631286bfffff
199,COLOMBIA,Cartagena,Cartagena,8866312917fffff
200,COLOMBIA,Cartagena,Cartagena,8866312835fffff
201,COLOMBIA,Cartagena,Cartagena,8866312935fffff
202,COLOMBIA,Cartagena,Cartagena,886631283bfffff
203,COLOMBIA,Cartagena,Cartagena,886631293bfffff
204,COLOMBIA,Cartagena,Cartagena,886606921dfffff
205,COLOMBIA,Cartagena,Cartagena,88663166d5fffff
206,COLOMBIA,Cartagena,Cartagena,88663128e1fffff
207,COLOMBIA,Cartagena,Cartagena,8866312805fffff
208,COLOMBIA,Cartagena,Cartagena,8866312957fffff
209,COLOMBIA,Cartagena,Cartagena,886631295dfffff
210,COLOMBIA,Cartagena,Cartagena,8866069023fffff
211,COLOMBIA,Cartagena,Cartagena,8866069249fffff
212,COLOMBIA,Cartagena,Cartagena,8866069215fffff
213,COLOMBIA,Cartagena,Cartagena,88663129e9fffff
214,COLOMBIA,Cartagena,Cartagena,8866312b35fffff
215,COLOMBIA,Cartagena,Cartagena,8866312915fffff
216,COLOMBIA,Cartagena,Cartagena,8866069027fffff
217,COLOMBIA,Cartagena,Cartagena,8866312951fffff
218,COLOMBIA,Cartagena,Cartagena,8866312839fffff
219,COLOMBIA,Cartagena,Cartagena,8866312831fffff
220,COLOMBIA,Cartagena,Cartagena,88663128a3fffff
221,COLOMBIA,Cartagena,Cartagena,88663129e5fffff
222,COLOMBIA,Cartagena,Cartagena,8866316485fffff
223,COLOMBIA,Cartagena,Cartagena,88663129e7fffff
224,COLOMBIA,Cartagena,Cartagena,8866316593fffff
225,COLOMBIA,Cartagena,Cartagena,8866312863fffff
226,COLOMBIA,Cartagena,Cartagena,8866069223fffff
227,COLOMBIA,Cartagena,Cartagena,8866312801fffff
228,COLOMBIA,Cartagena,Cartagena,88663164a1fffff
229,COLOMBIA,Cartagena,Cartagena,8866312953fffff
230,COLOMBIA,Cartagena,Cartagena,8866069001fffff
231,COLOMBIA,Cartagena,Cartagena,8866069029fffff
232,COLOMBIA,Cartagena,Cartagena,88660692e5fffff
233,COLOMBIA,Cartagena,Cartagena,8866312809fffff
234,COLOMBIA,Cartagena,Cartagena,886631293dfffff
235,COLOMBIA,Cartagena,Cartagena,886631381dfffff
