,source_country,macrozone,microzone,r7_h3
0,COLOMBIA,Cartagena,Cartagena,8766064d9ffffff
1,COLOMBIA,Cartagena,Cartagena,876631398ffffff
2,COLOMBIA,Cartagena,Cartagena,8766312b6ffffff
3,COLOMBIA,Cartagena,Cartagena,87663139bffffff
4,COLOMBIA,Cartagena,Cartagena,87663139affffff
5,COLOMBIA,Cartagena,Cartagena,876631769ffffff
6,COLOMBIA,Cartagena,Cartagena,87663129cffffff
7,COLOMBIA,Cartagena,Cartagena,876606920ffffff
8,COLOMBIA,Cartagena,Cartagena,876631280ffffff
9,COLOMBIA,Cartagena,Cartagena,876606902ffffff
10,COLOMBIA,Cartagena,Cartagena,876606900ffffff
11,COLOMBIA,Cartagena,Cartagena,876606905ffffff
12,COLOMBIA,Cartagena,Cartagena,876631283ffffff
13,COLOMBIA,Cartagena,Cartagena,876606923ffffff
14,COLOMBIA,Cartagena,Cartagena,876631659ffffff
15,COLOMBIA,Cartagena,Cartagena,876631291ffffff
16,COLOMBIA,Cartagena,Cartagena,87663129effffff
17,COLOMBIA,Cartagena,Cartagena,87663166dffffff
18,COLOMBIA,Cartagena,Cartagena,87663164affffff
19,COLOMBIA,Cartagena,Cartagena,87663128effffff
20,COLOMBIA,Cartagena,Cartagena,87663128affffff
21,COLOMBIA,Cartagena,Cartagena,876606904ffffff
22,COLOMBIA,Cartagena,Cartagena,876631282ffffff
23,COLOMBIA,Cartagena,Cartagena,876631285ffffff
24,COLOMBIA,Cartagena,Cartagena,876606921ffffff
25,COLOMBIA,Cartagena,Cartagena,87660692effffff
26,COLOMBIA,Cartagena,Cartagena,876631293ffffff
27,COLOMBIA,Cartagena,Cartagena,876631669ffffff
28,COLOMBIA,Cartagena,Cartagena,876631295ffffff
29,COLOMBIA,Cartagena,Cartagena,876631281ffffff
30,COLOMBIA,Cartagena,Cartagena,87660691cffffff
31,COLOMBIA,Cartagena,Cartagena,876631381ffffff
32,COLOMBIA,Cartagena,Cartagena,87663138affffff
33,COLOMBIA,Cartagena,Cartagena,87663138bffffff
34,COLOMBIA,Cartagena,Cartagena,87663138effffff
35,COLOMBIA,Cartagena,Cartagena,87663138dffffff
36,COLOMBIA,Cartagena,Cartagena,876631388ffffff
37,COLOMBIA,Cartagena,Cartagena,87663138cffffff
38,COLOMBIA,Cartagena,Cartagena,876631380ffffff
39,COLOMBIA,Cartagena,Cartagena,876631391ffffff
40,COLOMBIA,Cartagena,Cartagena,876631383ffffff
41,COLOMBIA,Cartagena,Cartagena,876631386ffffff
42,COLOMBIA,Cartagena,Cartagena,8766312a1ffffff
43,COLOMBIA,Cartagena,Cartagena,876631216ffffff
44,COLOMBIA,Cartagena,Cartagena,8766312aeffffff
45,COLOMBIA,Cartagena,Cartagena,876631210ffffff
46,COLOMBIA,Cartagena,Cartagena,8766312a5ffffff
47,COLOMBIA,Cartagena,Cartagena,8766312a3ffffff
48,COLOMBIA,Cartagena,Cartagena,876631389ffffff
49,COLOMBIA,Cartagena,Cartagena,8766312a8ffffff
50,COLOMBIA,Cartagena,Cartagena,8766312aaffffff
51,COLOMBIA,Cartagena,Cartagena,8766313a9ffffff
52,COLOMBIA,Cartagena,Cartagena,876631333ffffff
53,COLOMBIA,Cartagena,Cartagena,8766313a1ffffff
54,COLOMBIA,Cartagena,Cartagena,876631313ffffff
55,COLOMBIA,Cartagena,Cartagena,876631315ffffff
